id,unassigned_lead_id,assigned_to_user_id,assigned_date,assigned_at,assigned_by,status,processed_at,added_to_crm
1,1,5,2025-07-05,2025-07-05 08:01:30.804462,1,Added to CRM,2025-07-05 08:03:59.938344,True
2,5,5,2025-07-05,2025-07-05 08:26:51.294756,1,Added to CRM,2025-07-05 08:27:17.741006,True
3,7,5,2025-07-05,2025-07-05 08:45:31.364700,1,Added to CRM,2025-07-05 08:46:06.806591,True
4,6,2,2025-07-05,2025-07-05 08:55:42.355202,1,Added to CRM,2025-07-05 08:57:47.397769,True
5,8,9,2025-07-05,2025-07-05 09:34:30.828031,1,Added to CRM,2025-07-05 09:35:23.418168,True
6,9,9,2025-07-05,2025-07-05 09:39:43.212343,1,Assigned,,False
8,11,5,2025-07-05,2025-07-05 10:22:25.312786,1,Assigned,,False
7,10,9,2025-07-05,2025-07-05 09:54:27.751150,1,Added to CRM,2025-07-05 10:43:11.057712,True
9,12,4,2025-07-05,2025-07-05 11:36:59.247168,1,Added to CRM,2025-07-05 12:02:32.129776,True
10,13,5,2025-07-06,2025-07-05 20:31:34.350011,1,Assigned,,False
11,14,5,2025-07-06,2025-07-05 20:33:10.348149,1,Assigned,,False
12,15,5,2025-07-06,2025-07-05 20:35:59.364457,1,Assigned,,False
13,16,5,2025-07-06,2025-07-05 20:42:16.745097,1,Assigned,,False
14,17,5,2025-07-06,2025-07-05 20:42:49.839692,1,Assigned,,False
15,18,5,2025-07-06,2025-07-05 20:46:52.259384,1,Assigned,,False
16,19,5,2025-07-06,2025-07-05 21:33:13.641959,1,Assigned,,False
17,20,5,2025-07-06,2025-07-05 22:11:59.433785,1,Assigned,,False
18,21,5,2025-07-06,2025-07-05 22:13:11.059231,1,Assigned,,False
19,22,5,2025-07-06,2025-07-05 22:20:40.449630,1,Assigned,,False
21,24,9,2025-07-06,2025-07-06 04:55:46.163357,1,Assigned,,False
22,25,9,2025-07-06,2025-07-06 04:56:05.700154,1,Assigned,,False
23,26,9,2025-07-06,2025-07-06 04:58:04.880695,1,Assigned,,False
24,27,9,2025-07-06,2025-07-06 04:58:23.542674,1,Assigned,,False
25,28,9,2025-07-06,2025-07-06 04:59:04.159815,1,Assigned,,False
20,23,9,2025-07-06,2025-07-06 04:53:48.540224,1,Added to CRM,2025-07-06 05:13:58.682792,True
26,29,9,2025-07-06,2025-07-06 06:24:37.194343,1,Assigned,,False
27,30,9,2025-07-06,2025-07-06 08:08:02.495570,1,Assigned,,False
